Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,10/27/2025 17:34,FALSE,Strength,0,175,0:34,113,149,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,036",518,35,-6,No,0:34:00,1,--,--,--,--,--,--,--,--,0:26:53,0:34:04,--,--
Running,10/26/2025 8:58,FALSE,South Miami Running,7.25,424,0:45,160,174,183,195,6:04,3:21,14,8,0.89,8.6,7.6,244,212,0,213,312,"8,018",--,--,-13,No,01:18.1,8,--,--,--,--,--,--,--,--,0:43:40,0:44:23,6,14
HIIT,10/25/2025 12:11,FALSE,HIIT,0,163,0:30,120,152,--,--,--,--,--,--,--,--,--,--,--,0,--,--,498,249,25,-5,No,0:29:02,1,--,--,--,--,--,--,--,--,0:26:21,0:29:02,--,--
Strength Training,10/23/2025 6:30,FALSE,Strength,0,124,0:31,105,139,--,--,--,--,--,--,--,--,--,--,--,0,--,--,972,486,27,-5,No,0:30:05,1,--,--,--,--,--,--,--,--,0:26:33,0:30:05,--,--
Strength Training,10/22/2025 15:44,FALSE,Strength,0,222,1:11,94,133,--,--,--,--,--,--,--,--,--,--,--,0,--,--,520,255,12,-5,No,1:10:49,1,--,--,--,--,--,--,--,--,1:00:55,1:10:49,--,--
Strength Training,10/21/2025 7:18,FALSE,Strength,0,141,0:42,97,116,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,330",665,44,-7,No,0:41:52,1,--,--,--,--,--,--,--,--,0:34:02,0:41:52,--,--
HIIT,10/20/2025 17:00,FALSE,HIIT,0,271,0:46,122,157,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,186",593,42,-7,No,0:45:31,1,--,--,--,--,--,--,--,--,0:35:05,0:45:31,--,--
Running,10/19/2025 9:40,FALSE,South Miami Running,6.06,359,0:39,158,169,179,188,6:19,5:22,2,--,0.88,8.9,7.8,250,200,0,200,248,"6,858",--,--,-13,No,00:24.7,7,--,--,--,--,--,--,--,--,0:38:10,0:38:23,11,17
HIIT,10/18/2025 18:06,FALSE,HIIT,0,380,1:06,119,162,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,234",617,24,-10,No,1:05:30,1,--,--,--,--,--,--,--,--,0:47:12,1:05:36,--,--
HIIT,10/17/2025 15:34,FALSE,HIIT,0,149,0:40,99,141,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,104",552,38,-4,No,0:39:24,1,--,--,--,--,--,--,--,--,0:30:32,0:39:24,--,--
Strength Training,10/16/2025 18:38,FALSE,Strength,0,290,0:45,129,162,--,--,--,--,--,--,--,--,--,--,--,0,--,--,"1,218",609,36,-7,No,0:44:57,1,--,--,--,--,--,--,--,--,0:36:46,0:45:22,--,--
Strength Training,10/15/2025 15:50,FALSE,Strength,0,149,0:43,97,122,--,--,--,--,--,--,--,--,--,--,--,0,--,--,918,459,43,-5,No,0:42:56,1,--,--,--,--,--,--,--,--,0:32:56,0:42:56,--,--
Strength Training,10/14/2025 18:53,FALSE,Strength,0,146,0:29,111,151,--,--,--,--,--,--,--,--,--,--,--,0,--,--,842,421,29,-4,No,0:28:03,1,--,--,--,--,--,--,--,--,0:23:36,0:28:03,--,--
Running,10/12/2025 10:05,FALSE,Coral Gables Running,4.86,276,0:29,157,171,176,188,5:51,4:58,2,--,0.96,8.4,8,242,216,0,219,279,"5,096",--,--,-11,No,04:54.4,5,--,--,--,--,--,--,--,--,0:27:59,0:40:49,10,14
Running,10/12/2025 9:43,FALSE,South Miami Running,2.42,137,0:15,148,165,180,190,6:06,5:13,5,2,0.9,8.7,7.8,246,207,0,206,246,"2,654",--,--,-6,No,02:16.5,3,--,--,--,--,--,--,--,--,0:14:41,0:14:45,6,12
HIIT,10/11/2025 18:25,FALSE,HIIT,0,179,0:41,108,135,--,--,--,--,--,--,--,--,--,--,--,0,--,--,928,464,29,-4,No,0:40:40,1,--,--,--,--,--,--,--,--,0:36:29,0:40:40,--,--
